"district_name_bps","district_code_bps","district_name_kemendagri","district_code_kemendagri","subdistrict_name_bps","subdistrict_code_bps","subdistrict_name_kemendagri","subdistrict_code_kemendagri","village_name_bps","village_code_bps","village_name_kemendagri","village_code_kemendagri"
"BOGOR","3201","KAB. BOGOR","32.01","NANGGUNG","3201010","NANGGUNG","32.01.21","MALASARI","3201010001","MALASARI","32.01.21.2001"
"BOGOR","3201","KAB. BOGOR","32.01","NANGGUNG","3201010","NANGGUNG","32.01.21","BANTAR KARET","3201010002","BANTARKARET","32.01.21.2004"
"BOGOR","3201","KAB. BOGOR","32.01","NANGGUNG","3201010","NANGGUNG","32.01.21","CISARUA","3201010003","CISARUA","32.01.21.2003"
"BOGOR","3201","KAB. BOGOR","32.01","NANGGUNG","3201010","NANGGUNG","32.01.21","CURUG BITUNG","3201010004","CURUGBITUNG","32.01.21.2002"
"BOGOR","3201","KAB. BOGOR","32.01","NANGGUNG","3201010","NANGGUNG","32.01.21","NANGGUNG","3201010005","NANGGUNG","32.01.21.2007"
"BOGOR","3201","KAB. BOGOR","32.01","NANGGUNG","3201010","NANGGUNG","32.01.21","PANGKAL JAYA","3201010006","PANGKALJAYA","32.01.21.2009"
"BOGOR","3201","KAB. BOGOR","32.01","NANGGUNG","3201010","NANGGUNG","32.01.21","SUKALUYU","3201010007","SUKALUYU","32.01.21.2010"
"BOGOR","3201","KAB. BOGOR","32.01","NANGGUNG","3201010","NANGGUNG","32.01.21","HAMBARO","3201010008","HAMBARO","32.01.21.2005"
"BOGOR","3201","KAB. BOGOR","32.01","NANGGUNG","3201010","NANGGUNG","32.01.21","KALONG LIUD","3201010009","KALONGLIUD","32.01.21.2006"
"BOGOR","3201","KAB. BOGOR","32.01","NANGGUNG","3201010","NANGGUNG","32.01.21","PARAKAN MUNCANG","3201010010","PARAKANMUNCANG","32.01.21.2008"
"BOGOR","3201","KAB. BOGOR","32.01","NANGGUNG","3201010","NANGGUNG","32.01.21","BATU TULIS","3201010011","BATU TULIS","32.01.21.2011"
"BOGOR","3201","KAB. BOGOR","32.01","LEUWILIANG","3201020","LEUWILIANG","32.01.14","PURASARI","3201020001","PURASARI","32.01.14.2002"
"BOGOR","3201","KAB. BOGOR","32.01","LEUWILIANG","3201020","LEUWILIANG","32.01.14","PURASEDA","3201020002","PURASEDA","32.01.14.2008"
"BOGOR","3201","KAB. BOGOR","32.01","LEUWILIANG","3201020","LEUWILIANG","32.01.14","KARYASARI","3201020003","KARYASARI","32.01.14.2003"
"BOGOR","3201","KAB. BOGOR","32.01","LEUWILIANG","3201020","LEUWILIANG","32.01.14","PABANGBON","3201020004","PABANGBON","32.01.14.2004"
"BOGOR","3201","KAB. BOGOR","32.01","LEUWILIANG","3201020","LEUWILIANG","32.01.14","KARACAK","3201020005","KARACAK","32.01.14.2005"
"BOGOR","3201","KAB. BOGOR","32.01","LEUWILIANG","3201020","LEUWILIANG","32.01.14","BARENGKOK","3201020006","BARENGKOK","32.01.14.2006"
"BOGOR","3201","KAB. BOGOR","32.01","LEUWILIANG","3201020","LEUWILIANG","32.01.14","CIBEBER II","3201020007","CIBEBER II","32.01.14.2010"
"BOGOR","3201","KAB. BOGOR","32.01","LEUWILIANG","3201020","LEUWILIANG","32.01.14","CIBEBER I","3201020016","CIBEBER I","32.01.14.2009"
"BOGOR","3201","KAB. BOGOR","32.01","LEUWILIANG","3201020","LEUWILIANG","32.01.14","LEUWIMEKAR","3201020017","LEUWIMEKAR","32.01.14.2007"
"BOGOR","3201","KAB. BOGOR","32.01","LEUWILIANG","3201020","LEUWILIANG","32.01.14","LEUWILIANG","3201020018","LEUWILIANG","32.01.14.2001"
"BOGOR","3201","KAB. BOGOR","32.01","LEUWILIANG","3201020","LEUWILIANG","32.01.14","KAREHKEL","3201020019","KAREHKEL","32.01.14.2011"
"BOGOR","3201","KAB. BOGOR","32.01","LEUWISADENG","3201021","LEUWISADENG","32.01.39","WANGUN JAYA","3201021001","WANGUNJAYA","32.01.39.2004"
"BOGOR","3201","KAB. BOGOR","32.01","LEUWISADENG","3201021","LEUWISADENG","32.01.39","SADENGKOLOT","3201021002","SADENG KOLOT","32.01.39.2003"
